Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J11, J13, J15, J17, J19, J21, J3, J5, J7, J9",PinHeader_1x03_P2.54mm_Vertical,11,Conn_01x03_Pin,
"J10, J12, J14, J16, J18, J2, J20, J22, J4, J6, J8",Connector_VGA_Vertical,11,DSUB_15pin/VGA Veritical  Female,
